Название рассылки,Время,Дата,Сегмент,Метрика 1,Метрика 2,Метрика 3,Метрика 4
-25% на облачные сервисы DDoS-Guard для новых клиентов,10:00,22 мая,"Список CF №2 Ру (колесо, прн)",191,144,17,0
You’ve got a promo code for DDoS protection,11:30,21 апреля,ENG прочитано,56,54,26,2
Looks like you missed your promo code,11:00,21 апреля,ENG не прочитали,3300,3262,64,5
У вас есть промокод на защиту от DDoS-атак,09:30,21 апреля,РУ прочитано,77,76,48,0
"Кажется, вы пропустили промокод",09:15,21 апреля,РУ не прочитали,374,370,55,0
Special offer from DDoS-Guard,12:30,16 апреля,Рассылка №3 eng актуализировать,30400,25554,681,83
Дарим дополнительную скидку до -30%,12:00,16 апреля,Рассылка №3 ру аткуализиров,15655,12534,633,62
Special offer on Protection,10:00,08 апреля,"""Рассылка №2  По почтам из админки с неактивными услугами EN""",22059,14787,427,53
Индивидуальное предложение от DDoS-Guard,09:30,08 апреля,Рассылка №2  По почтам из админки с неактивными услугами RU,17360,12290,863,58
Your personal offer on DDoS Protection,14:45,31 марта,eng короткая после АБ-теста,2918,2157,49,8
Ваша скидка на защиту от DDoS-атак,14:30,31 марта,ру короткая (после АБ теста),396,307,33,2
Ваша скидка на защиту от DDoS-атак,09:10,26 марта,А-Б ру,441,357,18,1
Ваша скидка на защиту от DDoS-атак,09:10,26 марта,А-Б ру,441,369,29,2
Your personal offer on DDoS Protection,16:39,25 марта,А-Б eng,449,353,9,1
Your personal offer on DDoS Protection,16:39,25 марта,А-Б eng,449,350,3,0
Как не потерять российских пользователей  из-за блокировок в 2025 году,11:00,19 марта,Крипта 2025,41,31,3,0
Комплексная защита от DDoS-атак на уровне L7,14:54,13 марта,AMLive-05-03-2025,311,260,47,3
Как минимизировать риски DDoS-атак в 2025 году,09:15,11 марта,МФО-2025,618,581,77,0
Выгодная защита от DDoS-атак,09:55,27 февраля,Маркетинг 2025,5,5,2,0
Выгодная защита от DDoS-атак,09:55,27 февраля,Маркетинг 2025,0,0,0,0
Выгодная защита от DDoS-атак,09:50,27 февраля,Туризм 2025,12,12,1,0
Выгодная защита от DDoS-атак,09:50,27 февраля,Туризм 2025,0,0,0,0
Выгодная защита от DDoS-атак,09:45,27 февраля,Здоровье 2025,54,54,7,0
Выгодная защита от DDoS-атак,09:45,27 февраля,Здоровье 2025,0,0,0,0
Выгодная защита от DDoS-атак,09:45,27 февраля,Финансы 2025,0,0,0,0
Выгодная защита от DDoS-атак,09:30,27 февраля,Финансы 2025,20,20,6,1
Выгодная защита от DDoS-атак,09:15,27 февраля,Телеком 2025,49,49,9,1
Выгодная защита от DDoS-атак,09:15,27 февраля,Телеком 2025,0,0,0,0
Выгодная защита от DDoS-атак,09:00,27 февраля,Бизнес 2025,203,196,46,0
Выгодная защита от DDoS-атак,09:00,27 февраля,Бизнес 2025,0,0,0,0
Выгодная защита от DDoS-атак,16:18,26 февраля,тест 2025 PR,2,2,2,0
Выгодная защита от DDoS-атак тест кнопки,15:50,26 февраля,тест 2025 PR,2,2,2,0
Выгодная защита от DDoS-атак БИЗНЕС,14:59,24 февраля,тест 2025 PR,2,2,2,0
Как минимизировать риски DDoS-атак в 2025 году,09:55,19 февраля,Телеком 2025,60,49,8,0
Как минимизировать риски DDoS-атак в 2025 году,09:50,19 февраля,Туризм 2025,14,12,2,0
Как минимизировать риски DDoS-атак в 2025 году,09:45,19 февраля,Здоровье 2025,61,53,5,0
Как минимизировать риски DDoS-атак в 2025 году,09:45,19 февраля,Маркетинг 2025,6,5,2,0
Как минимизировать риски DDoS-атак в 2025 году,09:30,19 февраля,Финансы 2025,23,20,5,0
Как бизнесу минимизировать риски DDoS-атак в 2025 году,09:15,19 февраля,Бизнес 2025,227,201,35,1
Как не стать  жертвой хакеров: 5 простых правил безопасности в сети,11:02,11 февраля,Маркетинг 2025,6,5,1,0
Как не стать  жертвой хакеров: 5 простых правил безопасности в сети,10:00,11 февраля,Здоровье 2025,67,56,9,0
Как не стать  жертвой хакеров: 5 простых правил безопасности в сети,09:59,11 февраля,Туризм 2025,16,12,1,0
Как не стать  жертвой хакеров: 5 простых правил безопасности в сети,09:53,11 февраля,Финансы 2025,26,20,7,0
Как не стать  жертвой хакеров: 5 простых правил безопасности в сети,09:50,11 февраля,Телеком 2025,69,49,9,0
Как не стать  жертвой хакеров: 5 простых правил безопасности в сети,09:45,11 февраля,Бизнес 2025,249,207,56,2
Как не стать  жертвой хакеров: 5 простых правил безопасности в сети,19:19,10 февраля,тест 2025 PR,2,2,2,1
test test test,15:19,03 февраля,TEST MAR + PR,1,1,-,-
Winter Sale: Up to 20% off Upgrades and Extra Services,12:31,18 декабря 2024,Все eng НГ 25,1412,1051,36,3
Winter Sale: Up to 20% off Upgrades and Extra Services,09:45,18 декабря 2024,Тестовая,1,1,1,0
Выбирайте свой подарок от DDoS-Guard — скидка 15% или 20%,09:45,18 декабря 2024,Все ру НГ 2025,1522,1318,263,33
Get 50% Off DDoS Protection with DDoS-Guard's Cyber November,16:15,12 ноября 2024,Несконвертировавшиеся - 11.09.23 - EN,725,590,6,1
Get 50% Off DDoS Protection with DDoS-Guard's Cyber November,16:15,12 ноября 2024,Несконвертировавшиеся - 11.09.23 - EN,0,0,0,0
Выгодные цены на защиту от DDoS-атак весь ноябрь | DDoS-Guard,09:15,12 ноября 2024,Новый год. Лиды из битрикса. Защита сайта (RU),327,282,21,3
Выгодные цены на защиту от DDoS-атак весь ноябрь | DDoS-Guard,09:15,12 ноября 2024,Новый год. Лиды из битрикса. Защита сети (RU),79,62,12,2
Выгодные цены на защиту от DDoS-атак весь ноябрь | DDoS-Guard,09:15,07 ноября 2024,Холодная база ИП для Л7 (RU),1855,1777,126,0
Выгодные цены на защиту от DDoS-атак весь ноябрь | DDoS-Guard,09:15,07 ноября 2024,Холодная база ООО для Л7 (RU),1710,1619,173,0
Выгодные цены на защиту от DDoS-атак весь ноябрь | DDoS-Guard,09:15,07 ноября 2024,Холодная база физлиц для Л7 (RU),1,1,407,1
Выгодные цены на защиту от DDoS весь ноябрь | DDoS-Guard,18:37,06 ноября 2024,TEST MAR + PR,2,2,2,2
